Czech,English
dobře,good
všechno,all
nikdy,never
prosím,please
opravdu,really
někdo,someone
trochu,a little
dobrý,good
dělat,do
jenom,only
jeden,one
další,next
život,life
právě,just
jasně,clearly
sakra,damn
děkuji,thank you
velmi,very
hodně,lots of
první,first
místo,place
práce,work
vždycky,always
dlouho,long
někdy,sometimes
stejně,anyway
promiň,sorry
peníze,money
chtěla,she wanted
problém,problem
rychle,fast
poslední,last
každý,each
spolu,together
nejlepší,the best
večer,evening
pravda,truth
zlato,gold
znovu,again
žádný,none
samozřejmě,of course
zítra,tomorrow
člověk,human
pomoc,help
matka,mother
přímo,direct
miluju,i love
včera,yesterday
nápad,idea
pozor,attention
jinak,otherwise
srdce,heart
promluvit,speak
velký,big
vrátit,return
číslo,number
venku,outdoors
skvělý,great
dveře,door
předtím,previously